"","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order"
"15","Crocuta crocuta","",63000,43.75,744.95,"EIA","2","ACTH","wet","adult",41.1,NA,NA,2,"MF","AnAge",NA,"24hr","","Captive","Czech Republic","","Hyaenidae","Carnivora"
"16","Diceros bicornis","",1100000,3,30.1,"HPLC","HPLC","Restraint & relocation","dry","adult",57,NA,NA,5,"MF","AnAge",NA,"0-24hr","","Captive","USA","Table 3","Rhinocerotidae","Perissodactyla"
"17","Elephas maximus","",3178000,17.1,NA,"EIA","19","","dry","adult",79.6,0.636,35.8,26,"M","AnAge",NA,"","Misc. (Some in Musth)","Captive","USA","Captive only","Elephantidae","Proboscidea"
"18","Felis catus","",3900,463.05,1871,"EIA","9","ACTH","dry","adult",30,2.47,38.1,2,"MF","AnAge",NA,"0-5d","","Captive","Virginia, USA","Table 1","Felidae","Carnivora"
"19","Giraffa camelopardalis","",8e+05,23.725,49.3,"EIA","9","ACTH","dry","adult",39.5,0.874,37.1,2,"M","AnAge",NA,"13.5hr","","Captive","Misc.","Appendix 1","Giraffidae","Artiodactyla"
"20","Gorilla gorilla gorilla","",139842,20,40,"EIA","2","Anesthesia, relocation, social interaction, and male introduction","wet","",60.1,NA,NA,6,"MF","AnAge",NA,"44hr","","Captive","UK","Prioritized EIA, Table 1","Hominidae","Primates"
"21","Hylobates pileatus","",5735,35.5,188.5,"EIA","2","ACTH","dry","adult",38,NA,NA,2,"MF","AnAge",NA,"26hr","","Captive","Misc.","Table 2","Hylobatidae","Primates"
"22","Lepus americanus","",1600,1054,11130,"EIA","1","ACTH","dry","adult",NA,4.184,39.8,7,"MF","AnAge",NA,"10hr","","Captive","Yukon, Canada","","Leporidae","Lagomorpha"
"23","Loxodonta africana","",4800000,69.7,NA,"EIA","","","wet","adult",65,NA,NA,41,"F","AnAge",NA,"","","Wild","Tanzania","Limited to adult females to avoid juveniles","Elephantidae","Proboscidea"
"24","Macaca tonkeana","",11950,51.505,80.245,"EIA","13","Relocation","dry","adult and juveniles",28.4,NA,NA,15,"MF","AnAge",NA,"1-2d","","Captive","France to Italy","Table 2","Cercopithecidae","Primates"
"25","Mazama gouazoubira","",17000,181.5,770.5,"EIA","4","ACTH","wet","adult and juveniles",14.8,NA,NA,2,"MF","AnAge",NA,"25hr","","Captive","São Paulo, Brazil","","Cervidae","Artiodactyla"
"26","Melursus ursinus","",1e+05,48.7,1428.8,"EIA","9","Infection, male introduction, breeding","dry","adult",33.3,0.703,NA,1,"F","AnAge",NA,"","","Captive","Alaska, USA","Table 2","Ursidae","Carnivora"
