"","X","Species","Group","Mass","BasalFGC","ElevFGC","Method","AssayType","Stressor","FecesMass","Stage","MaxLifespan","MSMR","Temp","n","Sex","MassSource","MassEffects","TimeToSample","ReproductivePeriod","Captive","Location","Notes","Family","Order","Hormone"
"38",38,"Suricata suricatta","",776,174.25,1613.6,"RIA","14","ACTH","dry","adult",20.6,2.034,36.3,2,"M","AnAge",NA,"","","Captive","Missouri, USA","Table 1","Herpestidae","Carnivora","Corticosterone"
"39",39,"Syncerus caffer","",368500,40.19,250.29,"RIA","14","ACTH","dry","adults and subadults",32.8,NA,NA,4,"MF","Source",NA,"10.1-20hr","","Captive","South Africa","Fig 3","Bovidae","Artiodactyla","Corticosterone"
"40",40,"Tragelaphus buxtoni","",215001,60.09,NA,"RIA","14","","dry","",NA,NA,NA,NA,"MF ","Other",NA,"","","Wild","KwaZulu-Natal, South Africa","","Bovidae","Artiodactyla","Corticosterone"
"41",41,"Tragelaphus strepsiceros","",213501,46.34,NA,"RIA","14","","dry","",23.5,NA,38.9,NA,"MF ","Other",NA,"","","Wild","KwaZulu-Natal, South Africa","","Bovidae","Artiodactyla","Corticosterone"
"42",42,"Ursus arctos horribilis","",277500,19.043,112.455,"RIA","14","ACTH","dry","adult",40,NA,37.3,2,"MF","AnAge",NA,"27hr","","Captive","Washington, USA","Figure 1","Ursidae","Carnivora","Corticosterone"
"43",43,"Ursus maritimus","",475000,53,NA,"EIA","10","","dry","adult",43.8,0.67,36.8,10,"MF","AnAge",NA,"","","Captive","North America","Table 1","Ursidae","Carnivora","Corticosterone"
"44",44,"Ursus thibetanus","",103750,34.5,197.9,"RIA","14","ACTH","dry","adult",39.2,NA,37.5,1,"F","AnAge",NA,"","","Captive","Quebec, Canada","Table 2","Ursidae","Carnivora","Corticosterone"
"45",1,"Acinonyx jubatus","",53500,628.4,7193.2,"EIA","9","ACTH","dry","adult",20.5,1.607,39,1,"F","AnAge",NA,"","","Captive","Florida, USA","Table 1","Felidae","Carnivora","Cortisol"
"46",2,"Acomys cahirinus","",45.2,1077.33,1838.98,"EIA","4","ACTH","wet","subadult",5.9,6.143,37.5,10,"MF","AnAge",NA,"5-7hr","","Captive","Egypt","Figure 2, prioritize EIA2 ","Muridae","Rodentia","Cortisol"
"47",3,"Ailuropoda melanoleuca","",117500,114.66,179.492,"EIA","17","Artifical semen collection & artifical insemination","dry","adult",36.8,NA,NA,9,"MF","AnAge",NA,"","","Captive","Shaanxi, China","","Ursidae","Carnivora","Cortisol"
"48",4,"Artibeus jamaicensis","",42.2,557.46,NA,"EIA","22","","wet","",19.2,7.787,36.4,12,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Cortisol"
"49",5,"Artibeus lituratus","",65,872.25,NA,"EIA","22","","wet","",NA,8.588,37.3,5,"MF","AnAge",NA,"","","Wild","Oaxaca, Mexico","Table 2","Phyllostomidae","Chiroptera","Cortisol"
"50",6,"Blastocerus dichotomus","",102500,130.333,NA,"EIA","4","","dry","adult and subadult",13.7,NA,NA,6,"MF","AnAge",NA,"0-4d","","Captive","São Paulo, Brazil","Captive animals only","Cervidae","Artiodactyla","Cortisol"
"51",7,"Bos taurus","",750000,96.4,157,"EIA","1","Dry off","wet","adult",20,0.884,38,76,"F","AnAge",NA,"3d","Pregnant and lactating","Captive","Brandenburg, Germany","Figure 5","Bovidae","Artiodactyla","Cortisol"
"52",8,"Canis rufus","",22983.2,525.6,2103.7,"EIA","9","ACTH","dry","adult",NA,NA,NA,1,"M","Other",NA,"","","Captive","Washington, USA","Table 2","Canidae","Carnivora","Cortisol"
"53",9,"Capra hircus","",61000,124,1096,"EIA","1","ACTH","wet","adult",20.8,1.4,39.3,20,"F","AnAge",NA,"13hr","","Captive","Westerau, Germany","Assay B only","Bovidae","Artiodactyla","Cortisol"
"54",10,"Capreolus capreolus","",25000,60.92,459,"EIA","1","ACTH","wet","",17.5,2.156,NA,5,"M","Source",NA,"9.7hr","Castrated","Captive","Wehr, Germany","Table 1","Cervidae","Artiodactyla","Cortisol"
"55",11,"Cavia porcellus","",992.8,345,970,"EIA","1","Social interaction","dry","adult",12,3.333,39,20,"M","Source",NA,"6hr","","Captive","Vienna, Austria","Figure 4","Caviidae","Rodentia","Cortisol"
"56",12,"Ceratotherium simum","",2175000,4.1,28.3,"HPLC","HPLC","Restraint & relocation","dry","adult",45,NA,NA,4,"MF","AnAge",NA,"0-24hr","","Captive","USA","Table 3","Rhinocerotidae","Perissodactyla","Cortisol"
"57",13,"Cerdocyon thous","",6500,84.5,1638.53,"EIA","4","ACTH","","",12.7,1.562,38.2,3,"MF","AnAge",NA,"24-48hr","","Captive","Pantanal/MT, Brazil","Table 1","Canidae","Carnivora","Cortisol"
