Species,Mean_lifespan
Hippopotamus amphibius,36.6
Potamochoerus porcus,15.2
Entomyzon cyanotis,13.3
Bucorvus abyssinicus,-
Buceros bicornis,27.7
Tockus erythrorhynchus,6.6
Buceros rhinoceros,21.9
Bucorvus /eadbeateri,Data deficient
Bycanistes bucinator,Data deficient
Rhabdotorrhinus corrugatus,-
Equus ferus przewalskii,17.9
Garrulax canorus,Data deficient
Crocuta crocuta,24
Procavia capensis,5.4
Capra nubiana,9.3
Bostrychia hagedash,18.6
Lophotibis cristata,Data deficient
Plegadis ridgwayi,14
Threskiornis aethiopicus,13.4
Eudocimus ruber,-
Geronticus eremita,-
Brachylophus bulabula,-
Cyclura lewisi,Data deficient
Cyclura co/lei,Data deficient
Aepyceros melampus,-
Pantera onca,18.8
Cyanocorax chrysops,10.2
Macropus giganteus,-
Macropus rufus,-
"Macropus fuliginosus6.6",10
Nestor notabilis,8.7
Todiramphus cinnamominus,-
Potos flavus,26.4
Apteryx australis mantelli,13.2
Oreotragus oreotragus,8.4
Phascolarctos cinereus adustus,10.1
Kobus kob thomasi,-
Dacelo novaeguineae,18.7
Trage/aphus strepsiceros,-
Tragelaphus imberbis,8.8
Trachypithecus francoisi francoisi,13.8
Trachypithecus cristatus ultimus,9.4
Vanellus miles,-
Vanellus spinosus,7.4
Garrulax leucolophus,10.4
Kobus megaceros,-
Leiothrix lutea,8
Varecia variegata,18.4
Eulemur macaco flavifrons,20.8
Eulemur collaris,23.9
Eulemur coronatus,Data deficient
Eulemur mongoz,22.6
Microcebus murinus,9.4
Varecia rubra,19.9
Lemur catta,16.7
Panthera pardus orientalis,
Neofelis nebu/osa,14.8
Unicia uncia,15.3
Panthera /eo,16.9
Dracaena guianensis,Data deficient
Shinisaurus crocodilurus,-
Heloderma horridum exasperatum,-
Phrynosoma cornutum,-
Nycticebus pygmaeus,12.3
Lynx canadensis,15.1
Lynx lynx,Data deficient
Macaca fuscata,-
Macaca silenus,26.6
Macaca nigra,14.7
Ara g/aucogularis,Data deficient
Anodorhynchus hyacinthinus,23.5
Ara rubrogenys,Data deficient
Cyanopica cyanus,10.1
Urocissa erythrorhyncha,-
Trichechus manatus latirostris,Data deficient
Mandril/us sphinx,18.3
Lophocebus aterrimus,Data deficient
Dolichotis patagonum,5.7
Capra falconeri heptneri,8.6
Callithrix geoffroyi,7.4
Callithrix pygmaea,-
Suricata suricatta,10.1
Mergus squamatus,5.6
Mungos mungo,Data deficient
Allenopithecus nigrovirdis,18.3
P/ecturocebus donacophi/us,-
